distribution_id,config_path,family,parameterization,bounds,is_active_pre_fix,is_active_post_fix,consumed_by,semantic_alignment,malformed,risk_notes,action_taken
ca_retire_year,configs/california.json:data_uncertainty.growth_rates.retire_year,triangular (integer),"low=8, mode=12, high=18, integer=true","[8,18]",NO,yes,sample → retire_year,consistent (L2 load-model),no,NEW this round,"ADDED — retirement age was previously frozen; material impact on post-peak decline timing"
ca_icecav_factor,configs/california.json:data_uncertainty.consumption_rates.icecav_power_factor,triangular,"low=1.3, mode=1.6, high=2.0","[1.3,2.0]",NO,yes,sample → icecav_power_factor,consistent (L2),no,NEW this round,"ADDED — single scalar drives entire ICE-CAV limb"
ca_e_clean,configs/california.json:data_uncertainty.emission_factors.e_clean,triangular,"low=0.01, mode=0.03, high=0.08","[0.01,0.08]",NO,yes,sample → e_clean,consistent (L1),no,NEW this round,"ADDED — was silently deterministic; critical for grid-mix uncertainty story"
ca_e_fossil,configs/california.json:data_uncertainty.emission_factors.e_fossil,triangular,"low=0.35, mode=0.50, high=0.65","[0.35,0.65]",yes,yes,sample → e_fossil,consistent (L1),no,"Bounds reasonable for 2024 fossil mix",kept
ca_e_gasoline,configs/california.json:data_uncertainty.emission_factors.e_gasoline,triangular,"low=1.45, mode=1.65, high=1.85","[1.45,1.85]",yes,yes,sample → e_gasoline,consistent (L1),no,"kg CO2/kWh-equivalent; verify conversion documented",kept
oh_*,configs/ohio.json:data_uncertainty.*,same families as CA,same parameterizations,-,yes/NO same pattern,yes,-,same,no,"OH mirrors CA structure; same additions this round","Mirrored CA fixes for retire_year, icecav_power_factor, e_clean"
us_*,configs/us_average.json:data_uncertainty.*,same families with wider bounds,"wider triangular / lower kappa",-,yes/NO,yes,-,consistent but region semantics changed,no,"Region now marked 'distinct scenario' not midpoint; consumption_rates still unresolved anomaly (deferred)","Mirrored CA fixes; region note rewritten"
consumption_rates.ecav_power.L{3,4,5}.{sensing,computing,communication},configs/*:consumption_rates.ecav_power.*,NO DISTRIBUTION,-,-,NO,NO,-,-,MISSING,"Major L2 gap; per-level power is the most uncertain engineering estimate in pipeline. Distributions would require 9 cells × 3 regions × several distribution types.",DEFERRED — schema supports nested specs (already via _apply_data_uncertainty); skeleton plan in DISTRIBUTION_FIXES_APPLIED.md §deferred
consumption_rates.sti_power.{Basic,Semi,Highly}.{sensing,computing,communication},configs/*:consumption_rates.sti_power.*,NO DISTRIBUTION,-,-,NO,NO,-,-,MISSING,"Same L2 gap. Also interacts with US avg anomaly (sensing values 30x higher than CA/OH).",DEFERRED — blocked on US-avg unit investigation
consumption_rates.cav_levels,configs/*:consumption_rates.cav_levels,NO DISTRIBUTION (Dirichlet candidate),-,"[0,1]^3 sum=1",NO,NO,-,-,MISSING,"Level mix is a Dirichlet candidate; _apply_data_uncertainty currently does not handle list-valued distributions.",DEFERRED — needs new sampler for list-valued specs
consumption_rates.sti_levels,configs/*:consumption_rates.sti_levels,NO DISTRIBUTION,-,-,NO,NO,-,-,MISSING,same,DEFERRED
decay_factor (initial cohort age weighting),footprint_model.py:_initialize_cohorts L334 (hard-coded 0.7),HARD-CODED,-,-,NO,NO,-,-,STRUCTURAL,"Not in config; affects initial cohort efficiency mix.",DEFERRED — move to model_variants first (schema change)
ev_t_mid / ev_carrying_capacity,footprint_model.py L306-307,DORMANT,default=20 / 1.0,-,NO,NO,only used if adoption_curve=logistic,-,-,"Unused because no config selects logistic",DEFERRED — structural scenario family
efficiency_model / retrofit_share,footprint_model.py L272-273,DORMANT,default='smooth' / 0.0,-,NO,NO,only used if efficiency_model='partial_retrofit',-,-,"Unused because no variant sets partial_retrofit",DEFERRED — structural scenario family
