param_id,layer,config_path,physical_meaning,distribution,baseline_hyperparameters,region_variation,evidence_class,primary_affects,keep_in_ordinary_mc,user_exposure,diagnosis_if_broad
clean_energy_growth,L3,growth_rates.clean_energy,annual low-carbon-electricity growth exponent,truncated normal(mean=0.05; sd=0.012; clip [0.01; 0.10]),same,region-identical,adjustable,long_horizon+interp_boundary,yes,preset_width_only,"Ohio prior is CA-clone; justified region-specifically only for CA"
cav_target_2075,L3,growth_rates.cav,2075 CAV target fraction (linear ramp end-point),triangular,(0.25; 0.45; 0.70),region-identical,adjustable,long_horizon,yes,preset,"main L3 pathway-divergence driver; expose as adjustable assumption in all presets"
sti_target_2075,L3,growth_rates.sti,2075 STI target coverage (linear ramp end-point),triangular,(0.25; 0.50; 0.75),region-identical,adjustable,long_horizon,yes,preset,"main L3 pathway-divergence driver"
efficiency_doubling,L3,growth_rates.efficiency_doubling,hardware efficiency doubling time (years),triangular,(1.5; 2.8; 5.0),region-identical,fixed_weak,long_horizon,yes,preset_width_only,"mode is industry-consensus; wide tails reflect beyond-Moore scenarios"
total_car_increase,L3,growth_rates.total_car_increase,annual fleet-stock growth exponent,truncated normal(mean=0.002; sd=0.001; clip [-0.005; 0.010]),same,region-identical,fixed_evidence,level,yes,preset_width_only,none
shock_grid_stall,SHOCK,scenarios/shocks/grid_stall.json,discrete grid-decarbonisation stall (onset; duration; severity),scenario,moderate only on disk,region-dependent,fixed_scenario,long_horizon,no,shock_panel_only,"structural scenario; NOT folded into ordinary MC"
shock_ev_slowdown,SHOCK,scenarios/shocks/ev_slowdown.json,discrete BEV-adoption slowdown,scenario,moderate only on disk,region-dependent,fixed_scenario,long_horizon,no,shock_panel_only,"structural scenario"
shock_hardware_supply,SHOCK,scenarios/shocks/hardware_supply_shock.json,discrete CAV hardware supply disruption,scenario,moderate only on disk,region-dependent,fixed_scenario,long_horizon,no,shock_panel_only,"structural scenario; severe tier requires S4-02 patch before use"
shock_policy_freeze,SHOCK,scenarios/shocks/policy_freeze.json,discrete sustained policy regression,scenario,moderate only on disk,region-dependent,fixed_scenario,long_horizon,no,shock_panel_only,"structural scenario; label as sustained regression in captions"
shock_geopolitical,SHOCK,scenarios/shocks/geopolitical_disruption.json,compound geopolitical disruption (5-parameter),scenario,moderate only on disk; supplementary paper scope,region-dependent,fixed_scenario,long_horizon,no,shock_panel_only,"supplementary-only; never merged into baseline MC"
missing_abs_power,L2,consumption_rates.ecav_power.*; consumption_rates.sti_power.*,18 absolute per-level-per-subsystem power cells have NO direct distribution,none,deterministic,region-identical,underconstrained,width,no,disclosed_only,"S2-05: variance enters only via scale factors; disclose as a known L2 gap; not fixable in this pass"
