param_id,config_path,layer,physical_meaning,current_distribution,current_parameterization_CA_OH,can_be_fixed,must_remain_uncertain,low_spec,medium_spec,high_spec,allow_high,duplicates_effect_with,affects,default_level,paper_safe_level,rationale_for_decision,decision_value
F11,consumption_rates.ecav_scale_factors.communication,L2,ECAV communication column factor,lognormal,sigma=0.35,yes,yes,"lognormal(mean=1, sigma=0.25)","lognormal(mean=1, sigma=0.35)",n/a,no,none,width,low,medium,"5G-vehicle-communication measurement spread.",free_default_low
F12,consumption_rates.sti_scale_factors.Basic,L2,STI Basic per-level multiplicative factor,lognormal,sigma=0.20,yes,no,n/a,"lognormal(mean=1, sigma=0.20)",n/a,no,F15/F16/F17 (dual-axis; S2-02),width,fixed,medium,"Dossier S2-02. Same as ECAV side.",fixed_default
F13,consumption_rates.sti_scale_factors.Semi,L2,STI Semi per-level factor,lognormal,sigma=0.25,yes,no,n/a,"lognormal(mean=1, sigma=0.25)",n/a,no,F15/F16/F17,width,fixed,medium,"Dossier S2-02.",fixed_default
F14,consumption_rates.sti_scale_factors.Highly,L2,STI Highly per-level factor,lognormal,sigma=0.30,yes,no,n/a,"lognormal(mean=1, sigma=0.30)",n/a,no,F15/F16/F17,width,fixed,medium,"Dossier S2-02.",fixed_default
F15,consumption_rates.sti_scale_factors.sensing,L2,STI sensing column factor,lognormal,sigma=0.35,yes,yes,"lognormal(mean=1, sigma=0.25)","lognormal(mean=1, sigma=0.35)",n/a,no,none,width,low,medium,"Single retained axis.",free_default_low
F16,consumption_rates.sti_scale_factors.computing,L2,STI computing column factor,lognormal,sigma=0.25,yes,yes,"lognormal(mean=1, sigma=0.18)","lognormal(mean=1, sigma=0.25)",n/a,no,none,width,low,medium,"Edge-computing variance.",free_default_low
F17,consumption_rates.sti_scale_factors.communication,L2,STI communication column factor,lognormal,sigma=0.35,yes,yes,"lognormal(mean=1, sigma=0.25)","lognormal(mean=1, sigma=0.35)",n/a,no,none,width,low,medium,"Roadside link variance.",free_default_low
F18,consumption_rates.cav_levels,L2,Dirichlet over L3/L4/L5 CAV mix,dirichlet,"alpha=[5.0, 3.33, 1.67]",yes,yes,"alpha=[15.0, 9.99, 5.01]","alpha=[5.0, 3.33, 1.67]",n/a,no,none,width,low,medium,"Level mix is a legitimate scenario knob; LOW triples alpha for a tighter simplex.",free_default_low
F19,consumption_rates.sti_levels,L2,Dirichlet over Basic/Semi/Highly STI mix,dirichlet,"alpha=[5.0, 3.33, 1.67]",yes,yes,"alpha=[15.0, 9.99, 5.01]","alpha=[5.0, 3.33, 1.67]",n/a,no,none,width,low,medium,"Same as F18 on STI side.",free_default_low
F20,consumption_rates.icecav_power_factor,L2,ICE overhead multiplier,triangular,(1.3; 1.6; 2.0),yes,yes,"(1.45; 1.6; 1.8)","(1.3; 1.6; 2.0)",n/a,no,none,level,low,medium,"Well-bounded alternator-overhead.",free_default_low
F21,consumption_rates.cohort_decay_factor,L2,Pre-2024 cohort age weight,triangular,(0.5; 0.7; 0.9),yes,no,n/a,"(0.5; 0.7; 0.9)",n/a,no,none,early_horizon_only,fixed,medium,"Decays out by 2036; no effect on 2050+ bands.",fixed_default
F22,growth_rates.retire_year,L2,Integer vehicle service life,triangular(int),(8; 12; 18),yes,yes,"(10; 12; 15)","(8; 12; 18)",n/a,no,none,turning_year,low,medium,"Evidence-anchored; directly controls turning year. Kept free but narrowed in LOW.",free_default_low
F23,growth_rates.cav,L3,2075 CAV target fraction,triangular,"CA/OH (0.25; 0.45; 0.70); US (0.12; 0.24; 0.45)",yes,yes,"(0.35; 0.45; 0.55)","(0.25; 0.45; 0.70)","(0.15; 0.45; 0.85)",yes,none,long_horizon;width,low,medium,"Primary L3 scenario driver. HIGH allowed for exploratory envelope but flagged non-paper-safe.",free_default_low
F24,growth_rates.sti,L3,2075 STI target coverage,triangular,"CA/OH (0.25; 0.50; 0.75); US (0.01; 0.03; 0.08)",yes,yes,"(0.40; 0.50; 0.60)","(0.25; 0.50; 0.75)","(0.15; 0.50; 0.90)",yes,none,long_horizon;width,low,medium,"Second L3 scenario driver.",free_default_low
F25,growth_rates.ev,L3,Annual BEV-share growth exponent,truncated_normal,(0.07; sd=0.015; [0.02; 0.15]),yes,yes,"(0.07; sd=0.0075; [0.04; 0.10])","(0.07; sd=0.015; [0.02; 0.15])","(0.07; sd=0.0225; [0.02; 0.20])",yes,F02 (partial),long_horizon;width;interp_boundary,low,medium,"Primary long-horizon band driver. LOW halves sigma; HIGH marked exploratory.",free_default_low
F26,growth_rates.clean_energy,L3,Annual low-carbon-electricity growth exponent,truncated_normal,(0.05; sd=0.012; [0.01; 0.10]),yes,yes,"(0.05; sd=0.006; [0.03; 0.07])","(0.05; sd=0.012; [0.01; 0.10])","(0.05; sd=0.018; [0.005; 0.12])",yes,F01 (partial),long_horizon;width;interp_boundary,low,medium,"Primary interpretation-boundary driver.",free_default_low
F27,growth_rates.efficiency_doubling,L3,Hardware efficiency doubling time (years),triangular,"CA/OH (1.5; 2.8; 5.0); US (2.0; 3.8; 6.5)",yes,yes,"(2.2; 2.8; 3.6)","(1.5; 2.8; 5.0)","(1.0; 2.8; 7.0)",yes,none,long_horizon;width,low,medium,"Moore-style doubling time; asymmetry meaningful.",free_default_low
F28,growth_rates.total_car_increase,L3,Annual fleet-stock growth,truncated_normal,(0.002; sd=0.001; [-0.005; 0.010]),yes,yes,"(0.002; sd=0.0005; [-0.001; 0.007])","(0.002; sd=0.001; [-0.005; 0.010])",n/a,no,none,level,low,medium,"Demographically bounded; HIGH not justified.",free_default_low
F29_missing_abs_power_cells,consumption_rates.ecav_power.* / sti_power.*,L2,18 absolute per-level-per-subsystem power cells with NO direct distribution,none,deterministic,no,no,n/a,n/a,n/a,no,all L2 scale factors,width,hidden_internal_only,n/a,"Underconstrained (S2-05). Variance routes through scale factors; fixing requires a joint prior over 18 cells. Disclosed but not user-tunable.",hidden_internal_only
SHK01,scenarios/shocks/grid_stall.json,SHOCK,Grid decarbonisation stall,scenario,moderate,no,no,n/a,n/a,n/a,no,none,long_horizon,structural_shock_only,n/a,"Never in ordinary MC; invoked only via Structural Shocks panel.",structural_shock_only
SHK02,scenarios/shocks/ev_slowdown.json,SHOCK,BEV adoption slowdown,scenario,moderate,no,no,n/a,n/a,n/a,no,none,long_horizon,structural_shock_only,n/a,"Structural shock; separate panel.",structural_shock_only
SHK03,scenarios/shocks/hardware_supply_shock.json,SHOCK,CAV hardware supply disruption,scenario,moderate,no,no,n/a,n/a,n/a,no,none,long_horizon,structural_shock_only,n/a,"Structural shock; separate panel.",structural_shock_only
SHK04,scenarios/shocks/policy_freeze.json,SHOCK,Policy regression,scenario,moderate,no,no,n/a,n/a,n/a,no,none,long_horizon,structural_shock_only,n/a,"Structural shock; separate panel.",structural_shock_only
SHK05,scenarios/shocks/geopolitical_disruption.json,SHOCK,Compound geopolitical disruption,scenario,moderate,no,no,n/a,n/a,n/a,no,none,long_horizon,structural_shock_only,n/a,"Structural shock; supplementary panel only.",structural_shock_only
